"","x","y","color","pendown","type"
"403","64","-0.203718881","125","TRUE","red.voters"
"404","65","-0.646078945","125","TRUE","red.voters"
"405","66","-0.213974147","125","TRUE","red.voters"
"406","67","0.030331536","125","TRUE","red.voters"
"407","68","-0.070424822","125","TRUE","red.voters"
"408","69","-0.083517444","125","TRUE","red.voters"
"409","70","-0.1000902","125","TRUE","red.voters"
"410","71","-0.364726912","125","TRUE","red.voters"
"411","72","-0.213366936","125","TRUE","red.voters"
"412","73","-0.10896762","125","TRUE","red.voters"
"413","74","-0.322666466","125","TRUE","red.voters"
"414","75","-0.110167962","125","TRUE","red.voters"
"415","76","-0.407196462","125","TRUE","red.voters"
"416","77","-0.55096179","125","TRUE","red.voters"
"417","78","-0.239754419","125","TRUE","red.voters"
"418","79","-0.706601927","125","TRUE","red.voters"
"419","80","-0.5162329","125","TRUE","red.voters"
"420","81","-0.477560766","125","TRUE","red.voters"
"421","82","-0.462360244","125","TRUE","red.voters"
"422","83","-0.643350763","125","TRUE","red.voters"
"423","84","-0.893095591","125","TRUE","red.voters"
"424","85","-0.729737333","125","TRUE","red.voters"
"425","86","-0.638351382","125","TRUE","red.voters"
"426","87","-0.545228884","125","TRUE","red.voters"
"427","88","-0.46840058","125","TRUE","red.voters"
"428","89","-0.510022676","125","TRUE","red.voters"
"429","90","-0.300590987","125","TRUE","red.voters"
"430","91","-0.807825423","125","TRUE","red.voters"
"431","92","-0.934838733","125","TRUE","red.voters"
"432","93","-1.14633747","125","TRUE","red.voters"
"433","94","-1.166362513","125","TRUE","red.voters"
"434","95","-0.955324569","125","TRUE","red.voters"
"435","96","-1.448317124","125","TRUE","red.voters"
"436","97","-0.85357698","125","TRUE","red.voters"
"437","98","-0.834113087","125","TRUE","red.voters"
"438","99","-0.7386618","125","TRUE","red.voters"
"439","100","-0.919360358","125","TRUE","red.voters"
"440","101","-0.575654391","125","TRUE","red.voters"
"441","102","-0.636693108","125","TRUE","red.voters"
"442","103","-0.629137691","125","TRUE","red.voters"
"443","104","-0.851301168","125","TRUE","red.voters"
"444","105","-0.839113883","125","TRUE","red.voters"
"445","106","-0.599977896","125","TRUE","red.voters"
"446","107","-0.937057926","125","TRUE","red.voters"
"447","108","-0.844650476","125","TRUE","red.voters"
"448","109","-0.788598384","125","TRUE","red.voters"
"449","110","-0.899328805","125","TRUE","red.voters"
"450","111","-0.501656425","125","TRUE","red.voters"
"451","112","-0.296246105","125","TRUE","red.voters"
"452","113","-0.558799262","125","TRUE","red.voters"
"453","114","-0.355127708","125","TRUE","red.voters"
"454","115","-0.838542421","125","TRUE","red.voters"
"455","116","-0.084755014","125","TRUE","red.voters"
"456","117","-0.380405664","125","TRUE","red.voters"
"457","118","-0.493575179","125","TRUE","red.voters"
"458","119","-0.489936192","125","TRUE","red.voters"
"459","120","-0.655709932","125","TRUE","red.voters"
"460","121","-0.713471643","125","TRUE","red.voters"
"461","122","-0.790737581","125","TRUE","red.voters"
"462","123","-0.457370826","125","TRUE","red.voters"
"463","124","-0.26325665","125","TRUE","red.voters"
"464","125","-0.841039235","125","TRUE","red.voters"
"465","126","-0.551148994","125","TRUE","red.voters"
"466","127","-0.45856035","125","TRUE","red.voters"
"467","128","-0.796102067","125","TRUE","red.voters"
"468","129","-0.959359943","125","TRUE","red.voters"
"469","130","-0.512484933","125","TRUE","red.voters"
"470","131","-0.844476895","125","TRUE","red.voters"
"471","132","-1.013924995","125","TRUE","red.voters"
"472","133","-0.760417772","125","TRUE","red.voters"
"473","134","-1.297886939","125","TRUE","red.voters"
"474","135","-0.471513581","125","TRUE","red.voters"
"475","136","-1.297708431","125","TRUE","red.voters"
"476","137","-1.137422991","125","TRUE","red.voters"
"477","138","-0.646857154","125","TRUE","red.voters"
"478","139","-1.142167591","125","TRUE","red.voters"
"479","140","-0.994938641","125","TRUE","red.voters"
"480","141","-1.178085933","125","TRUE","red.voters"
"481","142","-0.957491935","125","TRUE","red.voters"
"482","143","-0.218981766","125","TRUE","red.voters"
"483","144","-0.253807551","125","TRUE","red.voters"
"484","145","-0.999339567","125","TRUE","red.voters"
"485","146","-0.872507111","125","TRUE","red.voters"
"486","147","-0.78302216","125","TRUE","red.voters"
"487","148","-0.781842298","125","TRUE","red.voters"
"488","149","-0.45115407","125","TRUE","red.voters"
"489","150","-0.453342208","125","TRUE","red.voters"
"490","151","-1.107804575","125","TRUE","red.voters"
"491","152","-1.002193664","125","TRUE","red.voters"
"492","153","-0.982707314","125","TRUE","red.voters"
"493","154","-1.105878187","125","TRUE","red.voters"
"494","155","-1.309097232","125","TRUE","red.voters"
"495","156","-1.21727285","125","TRUE","red.voters"
"496","157","-0.968229697","125","TRUE","red.voters"
"497","158","-1.008985239","125","TRUE","red.voters"
"498","159","-1.222254676","125","TRUE","red.voters"
"499","160","-1.027763452","125","TRUE","red.voters"
"500","161","-1.506133476","125","TRUE","red.voters"
"501","162","-1.54491762","125","TRUE","red.voters"
"502","163","-1.30875691","125","TRUE","red.voters"
"503","164","-1.295545992","125","TRUE","red.voters"
"504","165","-1.186512938","125","TRUE","red.voters"
"505","166","-1.087650889","125","TRUE","red.voters"
"506","167","-0.800324113","125","TRUE","red.voters"
"507","168","-0.861395488","125","TRUE","red.voters"
"508","0","0.330477288","105","TRUE","blues"
"509","1","0.365345794","105","TRUE","blues"
"510","2","0.92026747","105","TRUE","blues"
"511","3","1.102454156","105","TRUE","blues"
"512","4","0.938176733","105","TRUE","blues"
"513","5","1.603885538","105","TRUE","blues"
"514","6","1.546189428","105","TRUE","blues"
"515","7","1.345455358","105","TRUE","blues"
"516","8","1.543556182","105","TRUE","blues"
"517","9","0.830731319","105","TRUE","blues"
"518","10","1.600237958","105","TRUE","blues"
"519","11","0.988210809","105","TRUE","blues"
"520","12","1.227830717","105","TRUE","blues"
"521","13","0.424899288","105","TRUE","blues"
"522","14","0.828007285","105","TRUE","blues"
"523","15","1.16071378","105","TRUE","blues"
"524","16","1.608275506","105","TRUE","blues"
"525","17","1.576228103","105","TRUE","blues"
"526","18","1.802937248","105","TRUE","blues"
"527","19","2.087101926","105","TRUE","blues"
"528","20","1.502298487","105","TRUE","blues"
"529","21","1.434866985","105","TRUE","blues"
"530","22","1.478626052","105","TRUE","blues"
"531","23","1.449558973","105","TRUE","blues"
"532","24","1.135276624","105","TRUE","blues"
"533","25","1.09154241","105","TRUE","blues"
"534","26","0.686918274","105","TRUE","blues"
"535","27","0.293983965","105","TRUE","blues"
"536","28","0.182309256","105","TRUE","blues"
"537","29","0.156490574","105","TRUE","blues"
"538","30","-0.157177753","105","TRUE","blues"
"539","31","0.124976677","105","TRUE","blues"
"540","32","0.01141454","105","TRUE","blues"
"541","33","-0.020491809","105","TRUE","blues"
"542","34","-0.186599513","105","TRUE","blues"
"543","35","0.069560036","105","TRUE","blues"
"544","36","-0.039784776","105","TRUE","blues"
"545","37","-0.255759452","105","TRUE","blues"
"546","38","0.205608899","105","TRUE","blues"
"547","39","-0.358197007","105","TRUE","blues"
"548","40","-0.244562268","105","TRUE","blues"
"549","41","0.098921173","105","TRUE","blues"
"550","42","0.173076056","105","TRUE","blues"
"551","43","0.522490588","105","TRUE","blues"
"552","44","0.481264049","105","TRUE","blues"
"553","45","0.396665124","105","TRUE","blues"
"554","46","-0.021503301","105","TRUE","blues"
"555","47","-0.517579868","105","TRUE","blues"
"556","48","-0.81542311","105","TRUE","blues"
"557","49","-0.346858192","105","TRUE","blues"
"558","50","-0.423063246","105","TRUE","blues"
"559","51","-0.168799544","105","TRUE","blues"
"560","52","-0.094074548","105","TRUE","blues"
"561","53","-0.15728099","105","TRUE","blues"
"562","54","-0.318270713","105","TRUE","blues"
"563","55","-0.25992524","105","TRUE","blues"
"564","56","-0.127671726","105","TRUE","blues"
"565","57","-0.030051119","105","TRUE","blues"
"566","58","0.349361401","105","TRUE","blues"
"567","59","0.591886109","105","TRUE","blues"
"568","60","0.553357116","105","TRUE","blues"
"569","61","0.342777251","105","TRUE","blues"
"570","62","0.774278172","105","TRUE","blues"
"571","63","0.8123659","105","TRUE","blues"
"572","64","0.909389758","105","TRUE","blues"
"573","65","1.039643132","105","TRUE","blues"
"574","66","0.64111056","105","TRUE","blues"
"575","67","0.624963625","105","TRUE","blues"
"576","68","0.444666858","105","TRUE","blues"
"577","69","0.315249319","105","TRUE","blues"
"578","70","-0.063933191","105","TRUE","blues"
"579","71","-0.165607322","105","TRUE","blues"
"580","72","0.002975287","105","TRUE","blues"
"581","73","-0.45691834","105","TRUE","blues"
"582","74","-0.246731324","105","TRUE","blues"
"583","75","-0.41240921","105","TRUE","blues"
"584","76","-0.436175517","105","TRUE","blues"
